FENDER PLAYER Stratocaster HSS PF Black, https://www.muztorg.ru/files/206/veq/n3c/lus/s4k/cwk/c8g/s88/w/206veqn3cluss4kcwkc8gs88w.jpg, 6, H-s-s, на болтах, клён, ольха, пао ферро,
IBANEZ AZES31-VM, https://www.muztorg.ru/files/23x/kk4/361/m3o/0s8/0so/8w0/goc/c/23xkk4361m3o0s80so8w0gocc.jpg, 22, 6, S-s-s, на болтах, клён, тополь,
Schecter BANSHEE-6 SGR WSN, https://www.muztorg.ru/files/flv/zyc/uyj/rk8/scg/0og/cgg/wso/flvzycuyjrk8scg0ogcggwso.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
STAGG SES-30 BK, https://www.muztorg.ru/files/44k/cd3/dby/280/ow8/kcs/08k/c8g/w/44kcd3dby280ow8kcs08kc8gw.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Bosstone SG-04 BL+Bag, https://www.muztorg.ru/files/cgb/lzi/264/9w0/scc/4ss/gw8/0g0/s/cgblzi2649w0scc4ssgw80g0s.jpg, 22, 6, H-s-s, на болтах, клён, платан,
ROCKDALE Stars HSS Blue Metallic, https://www.muztorg.ru/files/7rg/7up/47a/ao0/88g/c0c/0oo/go4/7rg7up47aao088gc0c0oogo40.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
Fabio ST200 N (Н/S/S), https://www.muztorg.ru/files/9uu/tp0/zsn/nk0/gc4/w04/0cg/g48/g/9uutp0zsnnk0gc4w040cgg48g.jpg, 22, 6, H-s-s, на болтах, клён, ольха,
IBANEZ Q54-BKF, https://www.muztorg.ru/files/cf9/e1c/hw0/xkw/wwc/gck/8gg/gw4/k/cf9e1chw0xkwwwcgck8gggw4k.jpg, 6, S-s-h, на болтах, клён, ньятон, клён,
Cort CR200-FBL Classic Rock, https://www.muztorg.ru/files/7ic/v0m/ttv/lgc/8o8/0sk/go0/k0w/o/7icv0mttvlgc8o80skgo0k0wo.jpeg, 22, 6, H-h, вклеенный, красное дерево, красное дерево,
IBANEZ KRYS10, https://www.muztorg.ru/files/44u/i5l/nnq/tmo/888/w80/cs8/oss/k/44ui5lnnqtmo888w80cs8ossk.jpg, 24, 6, H-h, на болтах, клён, ясень,
FENDER PLAYER Stratocaster PF Polar White, https://www.muztorg.ru/files/4dr/erw/3q2/h44/kks/owo/8kc/k4k/4drerw3q2h44kksowo8kck4k0.jpg, 22, 6, S-s-s, на болтах, клён, ольха,
